Colors
Red
Orange
Yellow
Green
Blue
Purple
Pink
Brown
Black
White
Gray
Cyan
Magenta
Lime
Turquoise
Beige
Maroon
Navy Blue
Teal
Gold
Silver
Lavender
Olive
Peach
Coral
